login,Total number of Repo activities,Unique number of Repo activities,Total number of PR activities,Unique number of PR activities,Total number of Issue activities,Unique number of Issue activities,Total number of Commit activities,Unique number of Commit activities,Number of following,Number of followers,Median Creation Time of the first activities,Text similarity,Text similarity of Comments Before Bot,Account tag,Account name,Account bio,Account login,Median Activity per Day,Cosine similarity,Cosine similarity of Comments Before Bot,Average Cosine similarity,Average Cosine similarity of Comments Before Bot,Average Text similarity,Average Text similarity of Comments Before Bot,Text similarity of Commit Messages,Cosine similarity of Commit Messages,Average Cosine similarity of Commit Messages,Average Text similarity of Commit Messages,Type,Data_Source
tommoor,31,3,52,3,92,3,75,1,608,57,0,109,115,0,0,0,0,19,0.249742533,0.195491734,0.245465215,0.200627102,158.0958084,163.2740385,19.5,0,0.239153889,36.78207311,Human,Issues/PRs
andrewbonney,50,2,66,3,46,3,61,2,19,2,236.5666667,158,236,0,0,0,0,1,0.278288218,0.290196466,0.289245802,0.281673648,215.25,273.1188811,23,0,0.099047735,26.54581192,Human,Issues/PRs
jkinred,0,0,1,1,2,1,2,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,13.5,Human,Issues/PRs
Rotzbua,29,4,21,3,39,3,46,2,21,4,413.9583333,116.5,91,0,0,0,0,0,0.091145194,0.178174161,0.108770368,0.13571258,109.0625,76.66666667,15,0,0,17.1378533,Human,Issues/PRs
jrief,35,5,47,3,85,3,108,1,260,68,3204.083333,107,155.5,0,0,0,0,2,0.111739025,0.114138594,0.128726125,0.135784218,135.4902507,261.484,20.5,0,0.07852266,29.77182468,Human,Issues/PRs
jthoms1,5,1,0,0,0,0,0,0,103,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
NMFR,2,2,5,2,44,2,5,1,12,6,0,124,418,0,0,0,0,0,0.262071209,0.152414699,0.282878019,0.169875003,147.7674419,422.4736842,0,0,0,0,Human,Issues/PRs
moufmouf,33,5,73,3,67,3,72,1,105,2,406.7666667,99,49,0,0,0,0,6,0.110732021,0.026860765,0.135291221,0.166706187,835.4364641,85.02985075,32.5,0.036563621,0.156686159,37.88235338,Human,Issues/PRs
Jimexist,70,4,46,3,38,3,114,1,95,96,8.683333333,155.5,120.5,0,0,0,0,1,0.150755672,0.226895753,0.16416435,0.231987052,187.822695,132.4565217,16.5,0,0.08181333,22.16632254,Human,Issues/PRs
jhalterman,2,2,1,1,1,1,1,1,339,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
klauspost,43,3,66,3,71,3,58,1,991,5,0,117.5,359.5,0,0,0,0,12,0.125988158,0.10226145,0.149691888,0.141738391,153.066787,699.6771654,41.5,0,0.049843846,67.71765858,Human,Issues/PRs
twiecki,18,4,44,3,97,3,41,1,2424,140,150.1333333,44,309.5,0,0,0,0,3,0,0.098922626,0.09659445,0.164891765,440.1205047,448.3232899,14,0,0.081114453,28.39518189,Human,Issues/PRs
jc275,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
SamueleCaprioli97,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
Digenis,0,0,0,0,0,0,0,0,34,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
overcat,85,4,50,3,20,3,137,1,20,18,43.78333333,160.5,578,0,0,0,0,2,0.07914576,0.08512904,0.121195171,0.150101499,179.0853659,482.6388889,20,0,0.103161433,22.92730308,Human,Issues/PRs
sabeegrewal,2,2,1,1,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
mbrevda,6,2,3,2,25,3,5,1,22,0,0,75,77,0,0,0,0,0,0.027066598,0.151141731,0.119179058,0.152745422,157,86.04,0,0,0,0,Human,Issues/PRs
samuel-girard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
unaizorrilla,46,5,29,3,86,3,54,1,91,0,85.73333333,66,155,0,0,0,0,0,0.172132593,0.115044748,0.192825559,0.132222719,78.57475248,172.6340111,32.38095238,0.251291687,0.283279112,32.6964916,Human,Issues/PRs
sckott,17,4,30,3,139,3,85,1,763,121,0,93,185,0,0,0,0,36,0.060203567,0.113066754,0.096170584,0.138476287,188.5486594,270.3636364,26.71052632,0,0.120005224,36.48764629,Human,Issues/PRs
leosoto,0,0,0,0,0,0,42,1,86,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
pupunzi,7,4,1,1,16,2,14,1,315,1,5640.966667,107.5,48,0,0,0,0,0,0.241104113,0,0.253750479,0.053558708,109.4347826,48.19047619,0,0,0,0,Human,Issues/PRs
Ruffio,0,0,0,0,52,2,0,0,1,0,147712.35,28,124,0,0,0,0,0,0.248069469,0.107006456,0.314461363,0.140776948,31.34634146,210.4339623,0,0,0,0,Human,Issues/PRs
cypriss,0,0,0,0,0,0,0,0,102,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
jenow,39,4,38,3,6,3,33,1,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.45,0,0.090707168,18.18320045,Human,Issues/PRs
SiggyF,54,4,67,3,7,2,137,1,24,6,3054.708333,78.5,183,0,0,0,0,2,0.120723608,0.277128548,0.121449427,0.277128548,76.75,183,13.5,0,0.055893432,36.22524935,Human,Issues/PRs
danreeves,34,5,3,2,6,3,104,1,39,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,9.037023196,Human,Issues/PRs
rgolangh,23,4,107,3,31,1,49,2,19,10,7.475,42,304,0,0,0,0,0,0,0.163663083,0.259200751,0.305527165,118.2790698,303.2142857,20.82142857,0.596284794,0.520225755,48.34740295,Human,Issues/PRs
bcgit,75,3,31,3,192,4,1,1,0,0,943.6666667,99,157,0,0,0,0,7,0.173503468,0.084515425,0.189667873,0.114701879,140.7427536,181.0095238,0,0,0,0,Human,Issues/PRs
puku0x,27,3,15,2,8,3,54,1,63,7,40153.55417,72.5,92,0,0,0,0,0,0.098058068,0.433730715,0.100281635,0.433730715,706.75,92,13.91666667,0.133630621,0.177488423,13.4971372,Human,Issues/PRs
altendky,70,3,72,3,24,3,131,1,64,0,0,231,240,0,0,0,0,12,0.191662969,0.252325207,0.207829611,0.264708947,252.5505155,360.4795918,16.5,0,0.076398698,41.33291001,Human,Issues/PRs
alexandrebouthinon,18,5,32,3,10,3,30,1,28,13,0.004166667,84,144,0,0,0,0,0,0.090065317,0.076376262,0.094284521,0.231124039,75.75,144,20.5,0.101929438,0.182326643,25.02803419,Human,Issues/PRs
Handyman,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
nikossvnk,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
cjh1,43,3,65,4,80,3,36,2,20,0,1215.008333,61,219.5,0,0,0,0,2,0.12830006,0.204208345,0.193202452,0.219198525,109.6687435,254.5815603,29.36842105,0.121267813,0.281006679,36.35361717,Human,Issues/PRs
aschafers,2,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
NickSeagull,45,6,70,3,38,3,49,1,156,129,1.6,41,190,0,0,0,0,3,0.093658581,0.138601235,0.142076472,0.148724657,65.96072508,338.0769231,34.62797619,0.296499727,0.315355305,33.37833693,Human,Issues/PRs
vetcher,8,3,0,0,2,2,2,1,4,6,0,257,0,0,0,0,0,0,0.157392813,0,0.157392813,0,257,0,0,0,0,0,Human,Issues/PRs
kurtmckee,22,2,43,3,165,3,37,2,38,0,1417.7,171.5,88,0,0,0,0,0,0.185777437,0.117785712,0.19932519,0.126391335,249.3821277,146.0094763,25.5,0,0.1460132,30.33603962,Human,Issues/PRs
eduardo-rodrigues,53,3,69,3,77,3,59,2,22,2,0,134.5,174,0,0,0,0,7,0.155867153,0.200446226,0.185442609,0.216976013,260.0295699,228.5208333,21,0,0.082197054,56.37304026,Human,Issues/PRs
fanyang1988,23,2,0,0,0,0,1,1,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
vidartf,40,3,44,3,130,3,57,1,68,4,199.5166667,116,158,0,0,0,0,0,0.193202456,0.121930637,0.2051192,0.147371986,279.4602129,267.7975709,25,0,0.100598923,40.57216477,Human,Issues/PRs
chrisfosterelli,23,4,27,3,16,2,27,1,95,34,0,58,0,0,0,0,0,0,0.165294901,0,0.201700738,0,72.97435897,0,27.87777778,0,0.269841924,27.52069308,Human,Issues/PRs
pablorsk,20,4,34,3,5,2,54,1,26,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,0.577350269,0.565046401,32.05046213,Human,Issues/PRs
tampajohn,0,0,0,0,0,0,2,1,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
canard0328,2,1,0,0,0,0,4,1,9,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,4,0,0,4,Human,Issues/PRs
datakurre,26,4,18,2,62,3,66,2,107,16,0,159.5,266.5,0,0,0,0,0,0.185777247,0.197049234,0.193840532,0.216582551,244.1746032,418.2,27.5,0,0.14875745,27.4639009,Human,Issues/PRs
eigenfoo,79,5,23,3,51,3,64,1,198,80,160.9416667,145,251,0,0,0,0,1,0.153594737,0.088721218,0.186172379,0.156950198,334.7752443,665.6296296,18.5,0,0.074927946,21.44252427,Human,Issues/PRs
kevin-montrose,28,5,17,2,18,3,75,1,293,0,0,135,105,0,0,0,0,0,0.141170979,0.165608405,0.15131712,0.169651068,230.1648352,351.9285714,17.95454545,0,0.069661944,51.31857659,Human,Issues/PRs
RaimundasSakalauskas,0,0,1,1,1,1,1,1,5,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
edcarroll,0,0,0,0,0,0,0,0,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
kyriog,0,0,0,0,0,0,0,0,23,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
ariekahn,0,0,0,0,0,0,2,1,9,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10.5,0,0,10.5,Human,Issues/PRs
mattrbianchi,86,4,97,3,15,3,53,1,63,38,0.866666667,72,0,0,0,0,0,1,0.073521462,0,0.123643473,0,54.66666667,0,28.85714286,0.363803438,0.380350881,28.36676484,Human,Issues/PRs
jhaenchen,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
stephen-hill,6,1,0,0,2,2,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
joehni,7,3,6,3,29,4,33,1,6,0,0,126,132,0,0,0,0,0,0.177555206,0.092167757,0.182360446,0.12662463,188.4936709,351.6944444,15.5,0,0.106976105,16.52016307,Human,Issues/PRs
sergeyfrolov,1,1,10,2,7,2,2,1,60,8,0,506,433,0,0,0,0,0,0.259075078,0.134001038,0.267097393,0.134001038,419.75,433,36.9,0,0.096490926,34.02388112,Human,Issues/PRs
MikaelEliasson,0,0,0,0,3,2,0,0,18,1,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
mtdowling,17,1,153,3,15,3,46,1,718,8,960.2833333,258,251,0,0,0,0,2.5,0.342326598,0.250257279,0.32478568,0.208345993,266.4324324,254,131.4621212,0.081992006,0.155469797,168.2526302,Human,Issues/PRs
mtrea,3,2,2,2,1,1,2,1,3,0,0,100,83,0,0,0,0,0,0.178174161,0.609849579,0.177877558,0.609849579,88.33333333,83,0,0,0,0,Human,Issues/PRs
aaronklaassen,5,3,7,1,3,1,7,1,32,5,6703.4875,15,0,0,0,0,0,0,0,0,0,0,15,0,31.5,0,0.110590946,30.15553056,Human,Issues/PRs
alanfranz,2,2,1,1,3,2,1,1,32,6,0,743,0,0,0,0,0,0,0.553832799,0,0.553832799,0,743,0,0,0,0,0,Human,Issues/PRs
nitaliano,1,1,0,0,0,0,0,0,85,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
aeneasr,65,2,86,3,52,3,72,1,926,10,11.21666667,75.5,176,0,0,0,0,13,0.148782905,0.2057378,0.146814783,0.210062958,127.03125,202.76,18.45833333,0.060858062,0.330979319,18.92543076,Human,Issues/PRs
tonyghita,20,4,4,2,4,2,2,1,96,68,56424.2,98,25,0,0,0,0,0,0.183578199,0.104828484,0.151843224,0.104828484,100.8333333,25,0,0,0,0,Human,Issues/PRs
aantron,25,3,13,3,123,4,104,1,312,30,0,296,177,0,0,0,0,5,0.229564947,0.264470648,0.248851192,0.268075851,518.0214067,342.2199413,23,0,0.117430129,28.96599149,Human,Issues/PRs
mcjazzyfunky,1,1,0,0,23,4,27,1,4,2,0,636.5,181.5,0,0,0,0,0,0.439713333,0.27163315,0.383263569,0.256331985,689.6964286,189.2826087,11.5,0,0.087392367,26.93246247,Human,Issues/PRs
thysultan,16,3,3,2,29,2,15,1,128,39,84.06666667,167,509,0,0,0,0,0,0.217917934,0.351767422,0.219359055,0.333568992,187.576779,554.9403974,33.5,0,0,37.2234343,Human,Issues/PRs
ngrandjean,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
winterland1989,30,5,14,2,6,2,230,1,214,14,0,633,106.5,0,0,0,0,1,0.066516584,0.146409865,0.157850215,0.130483146,530.1818182,162,28,0,0.269215572,85.62968696,Human,Issues/PRs
yfuks,2,1,0,0,2,1,0,0,53,7,2351.141667,144,43,0,0,0,0,0,0.291342816,0,0.291342816,0,144,43,0,0,0,0,Human,Issues/PRs
pavdmyt,87,5,17,3,21,3,112,1,35,40,0,62,874,0,0,0,0,1,0.084215192,0.116488601,0.097557661,0.144288662,107.7692308,839.5,19.36666667,0,0.076130766,22.38071825,Human,Issues/PRs
lionel-,34,4,22,3,76,3,96,2,396,12,5.525,138,109,0,0,0,0,11.5,0.097590007,0.109031094,0.124989478,0.134988882,286.1496599,171.6545455,13.46875,0,0.334256173,14.80733226,Human,Issues/PRs
kamikazechaser,55,4,13,2,14,3,21,1,121,71,0,35,179,0,0,0,0,0,0.167621124,0.090166963,0.182076358,0.090166963,87.8125,179,19.25,0,0.092257977,27.21911025,Human,Issues/PRs
yagop,4,1,0,0,1,1,0,0,325,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
nickdirienzo,4,2,0,0,0,0,1,1,59,41,0,0,0,0,0,0,0,5,0,0,0,0,0,0,11.5,0,0.079122529,16.14040518,Human,Issues/PRs
joealcorn,2,1,1,1,1,1,1,1,67,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
tocsoft,11,3,14,2,27,2,39,1,40,22,32.30833333,151,156,0,0,0,0,0,0.284361116,0.120246518,0.284971923,0.141874092,235.6352941,167.372093,15,0,0.0240107,17.59595937,Human,Issues/PRs
yuewko,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
fghaas,37,4,86,3,37,2,63,1,112,0,0,84,206.5,0,0,0,0,0,0.16871234,0.158738849,0.202136296,0.208172736,193.5176991,277.0185185,15,0,0.180437613,55.02818617,Human,Issues/PRs
RubenVerborgh,12,3,84,3,66,3,61,2,709,14,0,193,280.5,0,0,0,0,18,0.177179997,0.259134581,0.19112334,0.276497244,241.3655738,348.3662281,19.5,0,0.115994702,20.76026399,Human,Issues/PRs
stve,20,2,0,0,0,0,3,1,92,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,15.13636364,Human,Issues/PRs
VivekMChawla,1,1,0,0,1,1,8,1,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5,0,0.060973193,35.38694452,Human,Issues/PRs
and-semakin,20,3,8,2,12,3,37,1,7,8,0,126,119,0,0,0,0,0,0.313545938,0.095346259,0.260670102,0.103758963,190,109.6666667,0,1,0.572763421,5.817061496,Human,Issues/PRs
b1naryth1ef,8,3,4,2,7,3,9,1,370,95,150913.1333,90,206.5,0,0,0,0,0,0.162352692,0.07635218,0.152719115,0.078509253,128.1,200.5,0,0,0,0,Human,Issues/PRs
BioQwer,1,1,1,1,0,0,1,1,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
ro-ka,12,3,7,3,8,3,10,1,46,2,0,83,0,0,0,0,0,0,0.249391875,0,0.249391875,0,83,0,8.928571429,0.288675135,0.27588193,9.94552303,Human,Issues/PRs
mayerm94,26,2,63,3,0,0,145,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0.051335194,17.72865724,Human,Issues/PRs
ide,16,4,127,3,36,3,29,1,941,21,0,216,210,0,0,0,0,4,0.240837661,0.156736122,0.244058764,0.176341534,461.7771536,412.7286585,272.4734513,0.199530007,0.265943983,312.863497,Human,Issues/PRs
ishepard,13,4,10,2,24,3,48,1,30,2,1788.958333,187,652,0,0,0,0,0,0.207767015,0.067757691,0.20934136,0.116228137,267.3970588,827.4,18,0,0.051411119,20.27594846,Human,Issues/PRs
johnou,8,3,21,2,26,1,2,1,61,31,0,44,91,0,0,0,0,0,0,0.07484723,0.068851809,0.092335295,55.93333333,150.9361702,0,0,0,0,Human,Issues/PRs
lukehutch,12,5,14,2,91,3,39,2,97,2,0,390,120,0,0,0,0,0,0.282364368,0.183941802,0.285523723,0.198800038,425.3987976,195.5925926,26,0,0.14202324,31.22043689,Human,Issues/PRs
ggreer,7,3,4,1,0,0,19,1,1081,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.94444444,0,0.171357071,27.24138304,Human,Issues/PRs
chrisfarms,34,2,78,3,9,2,60,1,25,1,0,420,0,0,0,0,0,1,0.097490429,0,0.097490429,0,420,0,28,0,0.132704784,77.52351271,Human,Issues/PRs
jeremyletang,7,1,0,0,0,0,0,0,98,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
omichelsen,12,4,2,1,4,2,19,1,49,2,10799.45833,183,0,0,0,0,0,0,0.383669059,0,0.363213188,0,163.6666667,0,1,0,0,6,Human,Issues/PRs
millermedeiros,0,0,0,0,0,0,0,0,1088,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
markvincze,16,5,10,2,10,3,26,1,80,12,0,50,0,0,0,0,0,0,0.161971435,0,0.167008142,0,50.5,0,11,0,0.087137085,12.44713071,Human,Issues/PRs
diwic,7,1,17,2,59,4,33,1,27,0,161.8166667,128,281,0,0,0,0,0,0.124354001,0.232621053,0.165834589,0.238548172,166.0591457,438.3099415,33.36666667,0.306785996,0.303819685,30.40606866,Human,Issues/PRs
benediktschmitt,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
matthewrmshin,23,3,4,3,0,0,11,1,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Human,Issues/PRs
hynekcer,9,3,2,1,3,2,3,1,9,0,227.6583333,228,86,0,0,0,0,0,0.306412939,0.23570226,0.305766062,0.23570226,190.6666667,86,26.92105263,0.057062251,0.160929502,39.1699901,Human,Issues/PRs
kratob,25,3,16,3,10,2,54,1,20,0,0,191,0,0,0,0,0,0,0.05488213,0,0.090993374,0,198.2,0,13,0,0.097744897,14.92413178,Human,Issues/PRs
hkdsun,3,3,2,1,0,0,0,0,34,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
lucatume,35,4,71,3,19,2,125,1,117,11,527.6041667,90,171,0,0,0,0,28,0.243097633,0.174340814,0.250553612,0.201399397,147.984127,243,36.46875,0.237825747,0.282886593,34.89724773,Human,Issues/PRs
IdoZilberberg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
arcusfelis,27,3,75,4,11,2,129,1,74,71,0,45,1776,0,0,0,0,1,0,0.099105886,0.092265442,0.135251953,90.84615385,9335.736842,28.12867647,0.324673622,0.334850331,28.47391078,Human,Issues/PRs
MuriloSchaefer,5,2,0,0,0,0,7,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
AnneHommelberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
tcrowe,0,0,0,0,0,0,0,0,32,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
mvz,97,4,87,2,13,3,102,1,97,34,0,40.5,866,0,0,0,0,16,0.131558703,0.196381611,0.132249587,0.196381611,47.83333333,866,47.9047619,0,0.109280255,49.71211838,Human,Issues/PRs
kpiwko,12,2,9,2,4,1,10,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0.123779721,29.21246535,Human,Issues/PRs
proofit404,39,4,30,2,105,4,46,1,288,15,1.183333333,0,372,0,0,0,0,8.5,1,0.508447295,0.622957755,0.508447295,55.32384342,372,20.96875,0,0.09925222,23.8430232,Human,Issues/PRs
rkern,0,0,4,1,56,3,0,0,178,1,27.21666667,188,154,0,0,0,0,0,0.26747995,0.173826046,0.267922554,0.180973082,251.986,241.5849057,0,0,0,0,Human,Issues/PRs
indebanvdhamer,4,3,2,2,2,2,4,1,3,4,39339.80833,0,66,0,0,0,0,0,0,0.314970394,0,0.314970394,0,66,8.5,0.588348405,0.556892908,17.46666667,Human,Issues/PRs
liszto,0,0,0,0,1,1,0,0,6,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
nicolaiarocci,20,3,19,3,63,4,59,1,710,0,2282.941667,57,263,0,0,0,0,0,0,0.066226618,0.072327698,0.112377872,88.29612756,186.0408163,15.95833333,0,0.127621594,20.10666681,Human,Issues/PRs
dkellner,4,3,2,1,0,0,6,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.43333333,0,0.08389136,236.6483327,Human,Issues/PRs
chihsuan,2,1,5,1,2,1,12,1,149,107,287.1166667,0,0,0,0,0,0,0,1,0,1,0,0,0,52.23913043,0.083464972,0.200886365,61.84291847,Human,Issues/PRs
martijn00,25,2,35,2,127,3,87,1,694,257,12411.925,40,100.5,0,0,0,0,0,0.05976143,0.127000127,0.119959594,0.137438935,47.0236822,200.261194,7,0,0.085880336,12.5125597,Human,Issues/PRs
sHesl,24,5,6,3,0,0,9,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0.054710496,20.96695402,Human,Issues/PRs
carlosalberto,47,3,75,4,53,3,45,1,34,0,0,86,67,0,0,0,0,12,0.133774027,0.106600358,0.151976065,0.127634673,129.1841432,197.7525424,30.9,0,0.123851335,64.70425504,Human,Issues/PRs
mikebryant,41,4,39,3,26,3,83,1,56,13,0,118,126,0,0,0,0,0,0.150826539,0.037608871,0.154263659,0.114573125,142.5625,116.0769231,16,0,0.17994944,22.91991332,Human,Issues/PRs
dereuromark,38,5,65,3,61,3,90,2,533,21,0,199.5,162,0,0,0,0,33,0.170344997,0.159673889,0.187220646,0.178366413,356.7548077,259.0769231,0,0,0,0,Human,Issues/PRs
MaartenDesnouck,5,1,0,0,0,0,5,1,17,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
samme,55,5,25,2,21,2,26,1,75,0,1430.116667,118,300,0,0,0,0,0,0.124034735,0.324149348,0.140790164,0.299160541,135.8479532,351.6363636,17.5,0,0,16.92460242,Human,Issues/PRs
jameskermode,13,3,29,3,82,4,54,2,42,0,876.8458333,60,149,0,0,0,0,0,0.091287093,0.151796535,0.116979958,0.177805668,100.4878706,301.8268156,22,0,0.083695648,23.92665796,Human,Issues/PRs
jbbarth,0,0,0,0,3,1,285,1,90,5,0,120,71,0,0,0,0,2,0.247461082,0.17251639,0.247461082,0.17251639,120,71,14,0,0.084195783,14.84746032,Human,Issues/PRs
Rotarepmi,1,1,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
smnbbrv,7,1,8,2,48,4,12,1,33,11,0,178,331,0,0,0,0,0,0.183941802,0.133321024,0.19339357,0.16512256,200.2635914,1107.050955,34.97368421,0.069006556,0.117294358,53.35473511,Human,Issues/PRs
xieziyu,12,4,6,2,13,3,17,1,75,3,435.5666667,82.5,130.5,0,0,0,0,0,0,0.018184824,0.066626526,0.07878521,79.23076923,107.2,26.6875,0.154599676,0.218494624,25.96229405,Human,Issues/PRs
xile611,4,2,14,3,0,0,11,1,87,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.98529412,0.18194734,0.155664065,35.98545774,Human,Issues/PRs
kwry,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
fenollp,61,5,116,3,26,3,63,2,92,246,0,193.5,250,0,0,0,0,4,0.112604637,0.133432673,0.138551511,0.188180564,205.15,367.2826087,15.29166667,0.701646415,0.532223112,18.85504741,Human,Issues/PRs
ronjouch,12,4,33,4,113,4,19,1,23,2,0,184,108.5,0,0,0,0,0,0.235339362,0.108274827,0.244744871,0.135479859,407.703211,211.0664894,23.47058824,0.06646428,0.144224221,82.28658205,Human,Issues/PRs
IonicaBizau,82,3,79,3,56,3,61,1,2525,38,0,69,113,0,0,0,0,1,0.092847669,0.057840361,0.182876226,0.095387379,74.84745763,192.7272727,21.38235294,0.322748612,0.33587807,25.14962187,Human,Issues/PRs
facelessuser,27,4,29,3,188,4,37,1,254,0,6.591666667,219,180,0,0,0,0,8,0.206375748,0.18253207,0.224516661,0.202928104,286.1774124,285.7938144,18.5,0,0.111007235,33.54739629,Human,Issues/PRs
shuhaowu,32,4,50,3,19,2,53,1,115,27,0,90.5,36,0,0,0,0,0,0.185779975,0,0.199069268,0.052065951,135.1129032,162.7142857,41.5,0,0,322.463895,Human,Issues/PRs
balsama,16,4,11,2,6,3,21,1,24,24,465.925,144,53,0,0,0,0,0,0.027777778,0.11433239,0.071125287,0.214402043,140.8333333,55.66666667,28.5,0,0.19488839,35.15435552,Human,Issues/PRs
steveoh,43,4,51,3,62,3,96,2,62,57,0,56,109.5,0,0,0,0,4,0.134839972,0.097385135,0.151999595,0.141456409,124.2844311,217.2866667,16.45833333,0.149071198,0.16642468,19.62994836,Human,Issues/PRs
nihgwu,7,3,10,3,55,2,7,1,330,8,0,101,176,0,0,0,0,0,0.16866668,0.184369736,0.179805464,0.1945755,248.1171352,234.1785714,4,0,0,4,Human,Issues/PRs
bvaughn,16,2,49,3,126,4,31,1,6116,1,0,227,169,0,0,0,0,16.5,0.15430335,0.148249863,0.173939694,0.157649532,241.5668203,204.6811594,157.9733333,0.097105232,0.249317173,172.1867045,Human,Issues/PRs
kspearrin,38,3,50,3,14,2,164,1,508,0,50.48333333,49,3131,0,0,0,0,12,0.071066905,0.004455238,0.107060442,0.018928232,51.26086957,2124.666667,6.75,0.730296743,0.62822286,52.52436141,Human,Issues/PRs
